studynames	modality	term	prevalence	TP	FP	TN	FN
Cooper_1985	Semi-quantitative	Short	3.6	12	29	289	0
Gutierrez_1992	Semi-quantitative	Short	12.2	10	14	72	2
Cercenado_1990	Semi-quantitative	Short	12.9	17	36	85	1
Rello_1991	Semi-quantitative	Short	13.2	13	18	67	0
Maki_1977	Semi-quantitative	Short	1.6	4	21	225	0
Aufwerber_1991	Semi-quantitative	Short	3.1	15	122	403	2
Kite_1999	Semi-quantitative	Both	44.6	45	28	34	5
Kite_1997	Semi-quantitative	Short	9.8	18	69	133	4
Maki_1977	Semi-quantitative	Short	10.0	5	11	34	0
Raad_1992	Semi-quantitative	Short	13.2	8	15	96	9
Snydman_1982	Semi-quantitative	NR	6.6	5	7	63	0
Collignon_1986	Semi-quantitative	Short	1.7	11	122	610	2
Widmer_1992	Semi-quantitative	Short	3.8	5	6	145	1
Jones_1986	Semi-quantitative	Both	3.1	7	25	342	5
Maki_1996	Semi-quantitative	Short	2.7	10	93	296	1
Collignon_1987	Semi-quantitative	Both	3.1	5	41	271	5
Moyer_1983	Semi-quantitative	Short	6.8	5	15	53	0
Widmer_2003	Semi-quantitative	Short	6.8	55	19	913	13
Rello_1989	Semi-quantitative	Long	16.0	6	12	30	2
Widmer_2003	Quantitative	Short	6.8	42	19	913	26
Rello_1989	Quantitative	Long	16.0	5	5	37	3
Cleri_1980	Quantitative	Short	8.7	13	11	125	0
Brun-Buisson_1987	Quantitative	Short	6.0	20	24	287	0
Rello_1991	Quantitative	Short	13.2	7	13	72	6
Kite_1999	Quantitative	Short	44.6	48	15	47	2
Gutierrez_1992	Quantitative	Short	12.2	11	14	72	1
Kite_1997	Quantitative	Short	9.0	15	32	170	5
Sherertz_1990	Quantitative	Short	70.1	68	5	11	13
Raad_1992	Quantitative	Short	15.3	13	5	72	1
Maki_1996	Quantitative	Short	2.7	8	66	323	3
Kelly_1996	Quantitative	Short	3.4	13	98	293	1
Douard_1999	Quantitative	Long	8.8	14	0	155	1
Bjornson_1982	Quantitative	Both	13.5	8	4	60	2
